Rank,City,State,Population
1,New York,New York," 8,622,698 "
2,Los Angeles,California," 3,999,759 "
4,Houston,Texas," 2,312,717 "
7,San Antonio,Texas," 1,511,946 "
8,San Diego,California," 1,419,516 "
9,Dallas,Texas," 1,341,075 "
10,San Jose,California," 1,035,317 "
11,Austin,Texas," 950,715 "
12,Jacksonville,Florida," 892,062 "
13,San Francisco,California," 884,363 "
15,Fort Worth,Texas," 874,168 "
22,El Paso,Texas," 683,577 "
34,Fresno,California," 527,438 "
35,Sacramento,California," 501,901 "
39,Long Beach,California," 469,450 "
43,Miami,Florida," 463,347 "
45,Oakland,California," 425,195 "
48,Arlington,Texas," 396,394 "
52,Tampa,Florida," 385,430 "
53,Bakersfield,California," 380,874 "
55,Anaheim,California," 352,497 "
57,Santa Ana,California," 334,136 "
58,Riverside,California," 327,728 "
59,Corpus Christi,Texas," 325,605 "
61,Stockton,California," 310,496 "
